Centre Code,Centre Name,Centre Type,Centre Status,Host Centre Code,Host Centre Name,Official Low Year Level,Official High Year Level,Officer In Charge Title,School Level Code,Show Holiday Date,Internet Site,Phone Number,Restrict Contact Outside Teaching Hours,Fax Number,Actual Address Line 1,Actual Address Line 2,Actual Address Line 3,Actual Address Post Code,Postal Address Line 1,Postal Address Line 2,Postal Address Line 3,Postal Address Post Code,Education Geographic Region,Federal Electorate,State Electorate,Local Government Area,Statistical Area Level2,Statistical Area Level2 Code,Remoteness Area,Enrolment Effective Date,All Student Count,Campus All Student Count,Early Childhood Registrations,Campus Early Childhood Registrations,ABN,Sector,Non-State Sector,Longitude,Latitude
A057,Angelorum College (Fortitude Valley),Non-State School,Open,,,Prep Year,Year 10,Principal,,,www.angelorum.qld.edu.au,(07) 3257 2830,,,,377 St Pauls Terrace,Fortitude Valley,4006,377 St Pauls Terrace,Fortitude Valley,,4006,Metropolitan,Brisbane,McConnel,Brisbane (C),Fortitude Valley,305011106,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.032768,-27.455604
5446,Anglican Church Grammar School (East Brisbane),Non-State School,Open,,,Prep Year,Year 12,Headmaster,,,www.churchie.com.au,(07) 3896 2200,,(07) 3891 5976,,Oaklands Parade,East Brisbane,4169,Oaklands Parade,East Brisbane,,4169,Metropolitan,Griffith,South Brisbane,Brisbane (C),East Brisbane,305021115,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.051077,-27.481660
5573,Annandale Christian College (Annandale),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.acc.qld.edu.au,(07) 4725 2082,,(07) 4725 4178,,104-156 Yolanda Drive,Annandale,4814,PO Box 1366,Aitkenvale,,4814,North Queensland,Dawson,Mundingburra,Townsville (C),Annandale,318021468,Outer Regional Australia,,,,0.00,,,Non-State,Independent,146.780260,-19.312706
5316,Aquinas College (Ashmore),Non-State School,Open,,,Year 7,Year 12,Principal,,,www.aquinas.qld.edu.au,(07) 5510 2888,,(07) 5510 2899,,Edmund Rice Drive,Ashmore,4214,PO Box 34,Ashmore City,,4214,South East,Moncrieff,Southport,Gold Coast (C),Southport - North,309091540,Major Cities of Australia,,,,0.00,,,Non-State,Catholic,153.382676,-27.975910
A624,Arcadia College (Robina),Non-State School,Open,,,Year 7,Year 12,Principal,,,www.arcadia.qld.edu.au,(07) 5655 1800,,,,12 Centreline Place,Robina,4226,12 Centreline Place,Robina,,4226,South East,Mcpherson,Mudgeeraba,Gold Coast (C),Robina,309081261,Major Cities of Australia,,,,,,,Non-State,Independent,153.378410,-28.068780
A740,Arethusa College (Deception Bay),Non-State School,Open,,,Year 7,Year 12,Executive Principal,,,www.arethusa.qld.edu.au,1300 720 371,,(07) 3888 5143,,1-83 Deception Bay Road,Deception Bay,4508,PO Box 565,Burpengary,,4505,North Coast,Petrie,Bancroft,Moreton Bay (R),Deception Bay,313041373,Major Cities of Australia,,,,0.00,,,Non-State,Independent,152.986860,-27.178469
5313,Assisi Catholic College (Upper Coomera),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.assisi.qld.edu.au,(07) 5656 7100,,(07) 5529 4711,,173 Billinghurst Crescent,Upper Coomera,4209,173 Billinghurst Crescent,Upper Coomera,,4209,South East,Forde,Coomera,Gold Coast (C),Upper Coomera - Willow Vale,309071258,Major Cities of Australia,,,,0.00,,,Non-State,Catholic,153.302142,-27.858338
5393,Assumption College (Warwick),Non-State School,Open,,,Year 7,Year 12,Principal,,,www.acwarwick.catholic.edu.au,(07) 4660 4000,,(07) 4660 4099,,6 Locke Street,Warwick,4370,PO Box 347,Warwick,,4370,Darling Downs South West,Maranoa,Southern Downs,Southern Downs (R),Warwick,307031189,Inner Regional Australia,,,,0.00,,,Non-State,Catholic,152.027987,-28.225162
1677,Australian Christian College - Moreton (Caboolture),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.acc.edu.au,(07) 5490 6100,,(07) 5490 6191,,34 Cottrill Road,Caboolture,4510,Locked Bag 6000,Caboolture BC,,4510,North Coast,Longman,Pumicestone,Moreton Bay (R),Caboolture,313021365,Major Cities of Australia,,,,0.00,,,Non-State,Independent,152.952590,-27.057676
A818,Australian Industry Trade College - Ipswich (North Ipswich),Non-State School,Open,,,Year 10,Year 12,Principal,,,www.aitc.qld.edu.au,(07) 3050 4800,,,,17 Lowry Street,North Ipswich,4305,17 Lowry Street,North Ipswich,,4305,Metropolitan,Blair,Ipswich West,Ipswich (C),North Ipswich - Tivoli,310031292,Major Cities of Australia,,,,0.00,,,Non-State,Independent,152.761570,-27.607500
9979,Australian Industry Trade College - Redlands (Cleveland),Non-State School,Open,,,Year 10,Year 12,Principal,,,www.aitc.qld.edu.au,(07) 3086 0500,,,,233 Middle Street,Cleveland,4163,PO Box 325,Cleveland,,4163,South East,Bowman,Oodgeroo,Redland (C),Cleveland,301021007,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.281938,-27.526604
A798,Australian Industry Trade College - Toowoomba (Toowoomba City),Non-State School,Open,,,Year 10,Year 12,Principal,,,www.aitc.qld.edu.au/education/toowoomba-campus/,(07) 4592 8700,,,,1-3 Russell Street,Toowoomba City,4350,PO Box 3254,Toowoomba City,,4350,Darling Downs South West,Groom,Toowoomba North,Toowoomba (R),Toowoomba - Central,317011456,Inner Regional Australia,,,,0.00,,,Non-State,Independent,151.955617,-27.559244
5740,Australian Industry Trade College (Robina),Non-State School,Open,,,Year 10,Year 12,Principal,,,www.aitc.qld.edu.au,(07) 5635 0400,,(07) 5635 0444,,281 Scottsdale Drive,Robina,4226,PO Box 4777,Robina Town Centre,,4230,South East,Mcpherson,Mermaid Beach,Gold Coast (C),Robina,309081261,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.392610,-28.091614
B054,Australian Industry Trade College (Spring Hill),Non-State School,Open,,,Year 10,Year 10,Principal,,,,,,,,88 Leichhardt Street,Spring Hill,4000,88 Leichhardt Street,Spring Hill,,4000,Metropolitan,Brisbane,McConnel,Brisbane (C),Spring Hill,305011111,Major Cities of Australia,,,,,,,Non-State,Independent,153.023402,-27.462193
5396,Australian International Islamic College (Durack),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.aiic.qld.edu.au,(07) 3372 1400,,(07) 3372 2500,,724 Blunder Road,Durack,4077,724 Blunder Road,Durack,,4077,Metropolitan,Oxley,Inala,Brisbane (C),Durack,310011272,Major Cities of Australia,,,,0.00,,,Non-State,Independent,152.987738,-27.597667
9977,Australian Technology and Agricultural College (North Maclean),Non-State School,Open,,,Year 10,Year 12,Chief Executive Officer,,,www.atac.qld.edu.au,(07) 5547 8598,,,,Cnr Mt Lindesay Highway and Trace Road,North Maclean,4280,PO Box 319,Browns Plains BC,,4118,South East,Forde,Logan,Logan (C),Greenbank,311041320,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.012871,-27.777759
5690,Australian Trade College North Brisbane (Scarborough),Non-State School,Open,,,Year 11,Year 12,Principal,,,www.tradecollege.com.au,(07) 3880 4331,,(07) 3880 4339,,294 Scarborough Road,Scarborough,4020,PO Box 140,Scarborough,,4020,North Coast,Petrie,Redcliffe,Moreton Bay (R),Scarborough - Newport - Moreton Island,313051542,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.110018,-27.205235
5893,Autism Queensland Education & Therapy Centre (Sunnybank Hills),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.autismqld.com.au,(07) 3273 0000,,(07) 3273 8306,,437 Hellawell Road,Sunnybank Hills,4109,PO Box 354,Sunnybank,,4109,Metropolitan,Moreton,Stretton,Brisbane (C),Sunnybank Hills,303061080,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.043103,-27.597484
5579,Bayside Christian College Hervey Bay (Urraween),Non-State School,Open,,,Prep Year,Year 12,Principal,,,,(07) 4124 4417,,(07) 4124 0010,,171 Pantlins Lane,Urraween,4655,PO Box 692,Hervey Bay,,4655,North Coast,Hinkler,Hervey Bay,Fraser Coast (R),Pialba - Eli Waters,319041518,Inner Regional Australia,,,,0.00,,,Non-State,Independent,152.815309,-25.298656
5491,Bethania Lutheran Primary School (Bethania),Non-State School,Open,,,Prep Year,Year 6,Principal,,,www.bethania.qld.edu.au,(07) 3200 5363,N,(07) 3299 6639,,66 Glastonbury Drive,Bethania,4205,66 Glastonbury Drive,Bethania,,4205,South East,Forde,Waterford,Logan (C),Bethania - Waterford,311051323,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.157835,-27.694340
5761,Bethany Lutheran Primary School (Raceview),Non-State School,Open,,,Prep Year,Year 6,Principal,,,www.bethany.qld.edu.au,(07) 3288 8799,N,(07) 3288 6935,,126 Cascade Street,Raceview,4305,126 Cascade Street,Raceview,,4305,Metropolitan,Blair,Ipswich,Ipswich (C),Raceview,310031293,Major Cities of Australia,,,,0.00,,,Non-State,Independent,152.776463,-27.637352
A737,Birali Steiner School (Beachmere),Non-State School,Open,,,Prep Year,Year 10,Principal,,,www.biralisteiner.qld.edu.au,(07) 5429 0511,,,,670 Beachmere Road,Beachmere,4510,PO Box 137,Beachmere,,4510,North Coast,Longman,Pumicestone,Moreton Bay (R),Beachmere - Sandstone Point,313011362,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.036344,-27.116540
5500,Blackall Range Independent School (Kureelpa),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.brischool.com.au,(07) 5476 4301,,,,551 Mapleton Road,Kureelpa,4560,PO Box 4770,SCMC Nambour,,4560,North Coast,Fairfax,Nicklin,Sunshine Coast (R),Maroochy Hinterland,316061443,Inner Regional Australia,,,,0.00,,,Non-State,Independent,152.901288,-26.617844
5800,Blackheath and Thornburgh College (Charters Towers),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.btc.qld.edu.au,(07) 4787 5100,,(07) 4787 4097,,55 King Street,Charters Towers,4820,PO Box 339,Charters Towers,,4820,North Queensland,Kennedy,Traeger,Charters Towers (R),Charters Towers,318011462,Outer Regional Australia,,,,0.00,,,Non-State,Independent,146.256862,-20.070551
A015,Border Rivers Christian College (Goondiwindi),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.brcc.qld.edu.au,(07) 4671 4123,,,,194 Marshall Street,Goondiwindi,4390,PO Box 1201,Goondiwindi,,4390,Darling Downs South West,Maranoa,Southern Downs,Goondiwindi (R),Goondiwindi,307011173,Outer Regional Australia,,,,0.00,,,Non-State,Independent,150.316711,-28.551400
5345,Brigidine College (Indooroopilly),Non-State School,Open,,,Year 7,Year 12,Principal,,,www.brigidine.qld.edu.au,(07) 3870 7225,N,(07) 3371 8936,,53 Ward Street,Indooroopilly,4068,PO Box 475,Indooroopilly,,4068,Metropolitan,Ryan,Maiwar,Brisbane (C),Indooroopilly,304031094,Major Cities of Australia,,,,0.00,,,Non-State,Catholic,152.980432,-27.500574
2073,Brisbane Adventist College (Mansfield),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.bac.qld.edu.au,(07) 3347 6444,N,(07) 3347 6475,,303A Broadwater Road,Mansfield,4122,303A Broadwater Road,Mansfield,,4122,Metropolitan,Bonner,Mansfield,Brisbane (C),Wishart,303031066,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.097610,-27.544597
5465,Brisbane Boys' College (Toowong),Non-State School,Open,,,Prep Year,Year 12,Headmaster,,,www.bbc.qld.edu.au,(07) 3309 3500,,(07) 3309 3671,,Kensington Terrace,Toowong,4066,Kensington Terrace,Toowong,,4066,Metropolitan,Ryan,Maiwar,Brisbane (C),Toowong,305041137,Major Cities of Australia,,,,0.00,,,Non-State,Independent,152.987731,-27.487004
5883,Brisbane Christian College (Golda Ave - Salisbury),Non-State School,Open,,,Prep Year,Year 5,Principal,,,www.brisbanechristiancollege.com.au,(07) 3719 3111,,(07) 3274 1071,,109 Golda Avenue,Salisbury,4107,PO Box 177,Salisbury,,4107,Metropolitan,Moreton,Toohey,Brisbane (C),Salisbury - Nathan,303041070,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.039059,-27.557803
5510,Brisbane Girls Grammar School (Brisbane),Non-State School,Open,,,Year 7,Year 12,Principal,,,www.bggs.qld.edu.au,(07) 3332 1300,N,(07) 3832 6097,,Gregory Terrace,Brisbane,4000,Gregory Terrace,Brisbane,,4000,Metropolitan,Brisbane,McConnel,Brisbane (C),Spring Hill,305011111,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.019826,-27.459069
5509,Brisbane Grammar School (Brisbane),Non-State School,Open,,,Year 5,Year 12,Headmaster,,,www.brisbanegrammar.com,(07) 3834 5200,,(07) 3834 5202,,24 Gregory Terrace,Brisbane,4000,Gregory Terrace,Brisbane,,4000,Metropolitan,Brisbane,McConnel,Brisbane (C),Spring Hill,305011111,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.018621,-27.459894
5503,Brisbane Independent School (Pullenvale),Non-State School,Open,,,Prep Year,Year 6,Principal,,,www.bis.qld.edu.au,0465 265 569,,,,2447 Moggill Road,Pullenvale,4069,PO Box 17,Kenmore,,4069,Metropolitan,Ryan,Moggill,Brisbane (C),Pinjarra Hills - Pullenvale,304021091,Major Cities of Australia,,,,0.00,,,Non-State,Independent,152.918721,-27.524134
5791,Brisbane Montessori School (Fig Tree Pocket),Non-State School,Open,,,Prep Year,Year 10,Principal,,,www.bms.qld.edu.au,(07) 3327 0600,,(07) 3878 3953,,Mactier Street,Fig Tree Pocket,4069,PO Box 681,Kenmore,,4069,Metropolitan,Ryan,Maiwar,Brisbane (C),Fig Tree Pocket,304021089,Major Cities of Australia,,,,0.00,,,Non-State,Independent,152.961248,-27.532449
0384,Bundaberg Christian College (Bundaberg),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.bcc.net.au,(07) 4132 5800,N,(07) 4159 3618,,234 Ashfield Road,Bundaberg,4670,234 Ashfield Road,Bundaberg,,4670,North Coast,Hinkler,Bundaberg,Bundaberg (R),Ashfield - Kepnock,319011492,Inner Regional Australia,,,,0.00,,,Non-State,Independent,152.407598,-24.867733
5422,Burdekin Catholic High School (Ayr),Non-State School,Open,,,Year 7,Year 12,Principal,,,www.bchs.catholic.edu.au,(07) 4783 2366,,(07) 4783 1579,,45 Gibson Street,Ayr,4807,45 Gibson Street,Ayr,,4807,North Queensland,Dawson,Burdekin,Burdekin (S),Ayr,318011460,Outer Regional Australia,,,,0.00,,,Non-State,Catholic,147.414525,-19.564642
5880,"Burdekin Christian College (Melbourne St, Ayr)",Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.burdekincc.qld.edu.au,(07) 4783 5552,,(07) 4783 5926,,2-12 Melbourne Street,Ayr,4807,2-12 Melbourne Street,Ayr,,4807,North Queensland,Dawson,Burdekin,Burdekin (S),Ayr,318011460,Outer Regional Australia,,,,0.00,,,Non-State,Independent,147.417066,-19.572959
5680,Burnett Youth Learning Centre (Elliott),Non-State School,Open,,,Year 7,Year 12,Principal,,,www.bylc.qld.edu.au,(07) 4159 7579,,(07) 4159 7557,,3693 Goodwood Road,Elliott,4670,PO Box 4170,Bundaberg South,,4670,North Coast,Hinkler,Burnett,Bundaberg (R),Bundaberg Region - South,319011499,Inner Regional Australia,,,,0.00,,,Non-State,Independent,152.376329,-25.007559
1693,Caboolture Montessori School (Caboolture),Non-State School,Open,,,Prep Year,Year 6,Principal,,,www.cms.qld.edu.au,(07) 5495 5877,,(07) 5499 3927,,200 Old Gympie Road,Caboolture,4510,PO Box 1610,Caboolture,,4510,North Coast,Longman,Pumicestone,Moreton Bay (R),Caboolture,313021365,Major Cities of Australia,,,,0.00,,,Non-State,Independent,152.939291,-27.055475
5486,Cairns Adventist College (Gordonvale),Non-State School,Open,,,Prep Year,Year 6,Principal,,,www.cas.qld.edu.au,(07) 4056 6144,,(07) 4051 2585,,42 Crossland Road,Gordonvale,4865,PO Box 131,Gordonvale,,4865,Far North Queensland,Kennedy,Mulgrave,Cairns (R),Gordonvale - Trinity,306021148,Outer Regional Australia,,,,0.00,,,Non-State,Independent,145.792313,-17.076055
2419,Cairns Hinterland Steiner School (Kuranda),Non-State School,Open,,,Prep Year,Year 10,Director,,,www.chss.qld.edu.au,(07) 4093 8809,,,,46 Boyles Road,Kuranda,4881,PO Box 283,Kuranda,,4881,Far North Queensland,Leichhardt,Barron River,Mareeba (S),Kuranda,306051168,Outer Regional Australia,,,,0.00,,,Non-State,Independent,145.588513,-16.812431
5585,Caloundra Christian College (Caloundra),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.calcc.qld.edu.au,(07) 5436 6777,N,(07) 5491 5103,,7 Gregson Place,Caloundra,4551,7 Gregson Place,Caloundra,,4551,North Coast,Fisher,Caloundra,Sunshine Coast (R),Caloundra - Kings Beach,316021419,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.118457,-26.799765
5301,Caloundra City Private School (Pelican Waters),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.ccps.qld.edu.au,(07) 5437 5800,,(07) 5492 3038,,200 Pelican Waters Boulevard,Pelican Waters,4551,PO Box 542,Golden Beach,,4551,North Coast,Fisher,Caloundra,Sunshine Coast (R),Golden Beach - Pelican Waters,316021421,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.103956,-26.824051
5884,Calvary Christian College (Mount Louisa),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.calvary.qld.edu.au,(07) 4722 9201,,(07) 4722 9208,,569 Bayswater Road,Mount Louisa,4814,PO Box 1544,Aitkenvale,,4814,North Queensland,Herbert,Townsville,Townsville (C),Mount Louisa,318021484,Outer Regional Australia,,,,0.00,,,Non-State,Independent,146.738237,-19.270303
5540,Calvary Christian College (Springwood),Non-State School,Open,,,Prep Year,Year 6,Principal,,,www.calvarycc.qld.edu.au,(07) 3808 8368,N,(07) 3808 9907,,161 Dennis Road,Springwood,4127,PO Box 4157,Loganholme,,4129,South East,Rankin,Springwood,Logan (C),Springwood,311061334,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.142904,-27.615546
5797,Cannon Hill Anglican College (Cannon Hill),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.chac.qld.edu.au,(07) 3896 0444,,(07) 3896 0448,,Cnr Junction and Krupp Roads,Cannon Hill,4170,PO Box 3366,Tingalpa DC,,4173,Metropolitan,Griffith,Bulimba,Brisbane (C),Cannon Hill,303011048,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.084099,-27.460332
5445,Canterbury College (Waterford),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.canterbury.qld.edu.au,(07) 3299 0888,,(07) 3805 2132,,Old Logan Village Road,Waterford,4133,PO Box 616,Beenleigh,,4207,South East,Forde,Waterford,Logan (C),Bethania - Waterford,311051323,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.149369,-27.709900
A759,Carbrook Animal Assisted Learning Centre (Carbrook),Non-State School,Open,,,Year 9,Year 12,Principal,,,www.carbrookcentre.qld.edu.au,(07) 3557 2117,,,,597-605 Beenleigh Redland Bay Road,Carbrook,4130,PO Box 23,Narangba,,4504,South East,Forde,Macalister,Logan (C),Cornubia - Carbrook,311051324,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.242330,-27.678550
2416,Carinity Education - Glendyne (Nikenbah),Non-State School,Open,,,Year 6,Year 12,Principal,,,www.glendyne.qld.edu.au,(07) 4128 6199,,(07) 4128 6194,,72 Nikenbah-Dundowran Road,Nikenbah,4655,72 Nikenbah-Dundowran Road,Nikenbah,,4655,North Coast,Hinkler,Maryborough,Fraser Coast (R),Booral - River Heads,319041516,Inner Regional Australia,,,,0.00,,,Non-State,Independent,152.797200,-25.313559
9964,Carinity Education - Rockhampton (Glenlee),Non-State School,Open,,,Year 7,Year 12,Principal,,,www.carinity.org.au,(07) 3550 3703,,,,46 Dawson Road,Glenlee,4711,PO Box 6164,Mitchelton,,4053,Central Queensland,Capricornia,Mirani,Livingstone (S),Glenlee - Rockyview,308031209,Inner Regional Australia,,,,0.00,,,Non-State,Independent,150.493675,-23.252762
A683,Carinity Education - Shalom (Condon),Non-State School,Open,,,Prep Year,Year 12,Head of School,,,www.shalomcollege.qld.edu.au,(07) 4445 2100,,,,190 Hervey Range Road,Condon,4815,PO Box 366,Thuringowa Central,,4817,North Queensland,Herbert,Thuringowa,Townsville (C),Condon - Rasmussen,318021471,Outer Regional Australia,,,,0.00,,,Non-State,Independent,146.711001,-19.319738
2225,Carinity Education - Southside (Sunnybank),Non-State School,Open,,,Year 7,Year 12,Principal,,,www.southside.qld.edu.au,(07) 3423 7499,,(07) 3423 7599,,153 Lister Street,Sunnybank,4109,PO Box 234,Coopers Plains,,4108,Metropolitan,Moreton,Toohey,Brisbane (C),Sunnybank,303061079,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.054784,-27.577888
5489,Carlisle Adventist College (Beaconsfield),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.carlisle.adventist.edu.au,(07) 4942 7455,,(07) 4942 5095,,17 Holts Road,Beaconsfield,4740,PO Box 10419,Mount Pleasant,,4740,Central Queensland,Dawson,Mackay,Mackay (R),Andergrove - Beaconsfield,312021342,Inner Regional Australia,,,,0.00,,,Non-State,Independent,149.164413,-21.100698
5596,Carmel College (Thornlands),Non-State School,Open,,,Year 7,Year 12,Principal,,,www.carmelcollege.qld.edu.au,(07) 3488 7777,,(07) 3206 0474,,20 Ziegenfusz Road,Thornlands,4164,PO Box 1725,Cleveland,,4163,South East,Bowman,Redlands,Redland (C),Thornlands,301021012,Major Cities of Australia,,,,0.00,,,Non-State,Catholic,153.267054,-27.565332
5558,Carmichael College (Morayfield),Non-State School,Open,,,Prep Year,Year 8,Principal,,,www.carmichael.qld.edu.au,(07) 5431 1200,,,,793-833 Oakey Flat Road,Morayfield,4506,793 Oakey Flat Road,Morayfield,,4506,North Coast,Longman,Morayfield,Moreton Bay (R),Morayfield,313041374,Major Cities of Australia,,,,0.00,,,Non-State,Independent,152.918516,-27.172913
A834,Catherine McAuley College (Mackay),Non-State School,Open,,,Year 7,Year 7,Principal,,,,(07) 4994 9200,,,,239-255 Nebo Road,Mackay,4741,239 - 255 Nebo Road,Mackay,,4741,Central Queensland,Dawson,Mackay,Mackay (R),West Mackay,312021358,Inner Regional Australia,,,,,,,Non-State,Catholic,149.159360,-21.161540
B055,Challenge Trade and Business College,Non-State School,Open,,,Year 11,Year 12,Principal,,,,0419 005 703,,,Westfalen,27 Bailey Street,Collingwood Park,4301,Po Box 272,Redbank Plains,,4301,Metropolitan,Blair,Bundamba,Ipswich (C),Collingwood Park - Redbank,310041299,Major Cities of Australia,,,,,,,Non-State,Independent,152.859470,-27.611470
5409,Chanel College (Gladstone),Non-State School,Open,,,Year 7,Year 12,Principal,,,www.chanelcollege.qld.edu.au,(07) 4973 4700,,(07) 4978 3991,,11 Paterson Street,Gladstone,4680,11 Paterson Street,Gladstone,,4680,Central Queensland,Flynn,Gladstone,Gladstone (R),West Gladstone,308051539,Inner Regional Australia,,,,0.00,,,Non-State,Catholic,151.242562,-23.867249
