Centre Code,Centre Name,Centre Type,Centre Status,Host Centre Code,Host Centre Name,Official Low Year Level,Official High Year Level,Officer In Charge Title,School Level Code,Show Holiday Date,Internet Site,Phone Number,Restrict Contact Outside Teaching Hours,Fax Number,Actual Address Line 1,Actual Address Line 2,Actual Address Line 3,Actual Address Post Code,Postal Address Line 1,Postal Address Line 2,Postal Address Line 3,Postal Address Post Code,Education Geographic Region,Federal Electorate,State Electorate,Local Government Area,Statistical Area Level2,Statistical Area Level2 Code,Remoteness Area,Enrolment Effective Date,All Student Count,Campus All Student Count,Early Childhood Registrations,Campus Early Childhood Registrations,ABN,Sector,Non-State Sector,Longitude,Latitude
0440,Annandale State School,State School,Open,,,Prep Year,Year 6,Principal,06,04 July 2022,www.annandaless.eq.edu.au,(07) 4729 5111,N,(07) 4729 5100,,Cnr Oleander Street & Yolanda Drive,Annandale,4814,Cnr Oleander Street & Yolanda Drive,Annandale,,4814,North Queensland,Dawson,Mundingburra,Townsville (C),Annandale,318021468,Outer Regional Australia,2022 February,698.00,,0.00,,58488048743,State,,146.778441,-19.315285
1294,Applethorpe State School,State School,Open,,,Prep Year,Year 6,Principal,02,28 January 2022,www.applethorpess.eq.edu.au,(07) 4683 2203,N,(07) 4683 2542,,25576 New England Highway,Applethorpe,4378,25576 New England Highway,Applethorpe,,4378,Darling Downs South West,Maranoa,Southern Downs,Southern Downs (R),Stanthorpe Region,307031188,Outer Regional Australia,2022 February,62.00,,0.00,,77383988490,State,,151.955354,-28.612562
0312,Aramac State School,State School,Open,,,Early Childhood,Year 10,Principal,03,30 September 2022,www.aramacss.eq.edu.au,(07) 4651 3177,N,,,69 Porter Street,Aramac,4726,PO Box 92,Aramac,,4726,Central Queensland,Maranoa,Gregory,Barcaldine (R),Barcaldine - Blackall,315031408,Very Remote Australia,2022 February,58.00,,5.00,,14926232593,State,,145.242684,-22.974429
1266,Aratula State School,State School,Open,,,Prep Year,Year 6,Principal,02,08 August 2022,www.aratulass.eq.edu.au,(07) 5463 8158,N,(07) 5463 8389,,41 Elizabeth Street,Aratula,4309,41 Elizabeth Street,Aratula,,4309,South East,Wright,Scenic Rim,Scenic Rim (R),Boonah,310021277,Inner Regional Australia,2022 February,62.00,,0.00,,40566276356,State,,152.544186,-27.980839
0813,Arcadia Valley State School,State School,Open,,,Early Childhood,Year 6,Principal,01,06 May 2022,www.arcadiavalleyss.eq.edu.au,(07) 4626 7110,Y,(07) 4626 7145,,4831 Arcadia Valley Road,Arcadia Valley,4454,4831 Arcadia Valley Road,Arcadia Valley,via Injune,4454,Darling Downs South West,Flynn,Gregory,Central Highlands (R),Central Highlands - West,308011191,Remote Australia,2022 February,14.00,,3.00,,74798912711,State,,148.820874,-25.255099
1997,Arundel State School,State School,Open,,,Prep Year,Year 6,Principal,06,26 August 2022,www.arundelss.eq.edu.au,(07) 5561 4888,N,(07) 5561 4800,,Cnr Napper Road & Arundel Drive,Arundel,4214,Cnr Napper Road & Arundel Drive,Arundel,,4214,South East,Fadden,Bonney,Gold Coast (C),Arundel,309031235,Major Cities of Australia,2022 February,1065.00,,0.00,,86513030548,State,,153.365870,-27.945078
0296,Ascot State School,State School,Open,,,Prep Year,Year 6,Principal,05,10 August 2022,www.ascotss.eq.edu.au,(07) 3326 9333,N,(07) 3326 9300,,Pringle Street,Ascot,4007,PO Box 2053,Ascot,,4007,Metropolitan,Brisbane,Clayfield,Brisbane (C),Ascot,305031121,Major Cities of Australia,2022 February,670.00,,0.00,,64536756133,State,,153.055952,-27.432671
0186,Ashgrove State School,State School,Open,,,Prep Year,Year 6,Principal,05,10 August 2022,www.ashgrovess.eq.edu.au,(07) 3858 4777,N,,,31 Glory Street,Ashgrove,4060,PO Box 2077,Ashgrove West,,4060,Metropolitan,Ryan,Cooper,Brisbane (C),Ashgrove,305041132,Major Cities of Australia,2022 February,744.00,,0.00,,45602921885,State,,152.976542,-27.448125
1871,Ashmore State School,State School,Open,,,Prep Year,Year 6,Principal,06,26 August 2022,www.ashmoress.eq.edu.au,(07) 5656 1333,N,(07) 5656 1300,,Currumburra Road,Ashmore,4214,Currumburra Road,Ashmore,,4214,South East,Moncrieff,Southport,Gold Coast (C),Ashmore,309091263,Major Cities of Australia,2022 February,830.00,,0.00,,84529705275,State,,153.381323,-27.989147
0512,Ashwell State School,State School,Open,,,Prep Year,Year 6,Principal,02,13 May 2022,www.ashwellss.eq.edu.au,(07) 5464 1184,N,(07) 5464 2539,,35 Reinke Road,Ashwell,4340,35 Reinke Road,Ashwell via Rosewood,,4340,Metropolitan,Blair,Ipswich West,Ipswich (C),Rosewood,310021282,Inner Regional Australia,2022 February,62.00,,0.00,,61930852088,State,,152.556566,-27.629413
1004,Aspley East State School,State School,Open,,,Prep Year,Year 6,Principal,06,10 August 2022,www.aspleyeastss.eq.edu.au,(07) 3867 2777,N,(07) 3863 7820,,31 Helena Street,Aspley,4034,31 Helena Street,Aspley,,4034,Metropolitan,Petrie,Aspley,Brisbane (C),Aspley,302021027,Major Cities of Australia,2022 February,886.00,,0.00,,54034912342,State,,153.023968,-27.362313
3031,Aspley Special School,Special School,Open,,,Year 7,Year 12,Principal,06,10 August 2022,www.aspleyspecs.eq.edu.au,(07) 3867 2333,N,(07) 3867 2300,,751 Zillmere Road,Aspley,4034,PO Box 67,Zillmere,,4034,Metropolitan,Petrie,Aspley,Brisbane (C),Aspley,302021027,Major Cities of Australia,2022 February,134.00,,0.00,,79268865488,State,,153.021118,-27.356718
2076,Aspley State High School,State High School,Open,,,Year 7,Year 12,Principal,07,10 August 2022,www.aspleyshs.eq.edu.au,(07) 3863 9222,N,(07) 3863 9200,,651 Zillmere Road,Aspley,4034,651 Zillmere Road,Aspley,,4034,Metropolitan,Petrie,Aspley,Brisbane (C),Aspley,302021027,Major Cities of Australia,2022 February,1085.00,,0.00,,30484583885,State,,153.024213,-27.357169
0610,Aspley State School,State School,Open,,,Early Childhood,Year 6,Principal,05,10 August 2022,www.aspleyss.eq.edu.au,(07) 3863 9111,N,(07) 3863 9100,,Maundrell Terrace,Aspley,4034,Maundrell Terrace,Aspley,,4034,Metropolitan,Lilley,Aspley,Brisbane (C),Aspley,302021027,Major Cities of Australia,2022 February,727.00,,0.00,,16378092269,State,,153.014592,-27.369898
2051,Atherton State High School,State High School,Open,,,Year 7,Year 12,Principal,07,28 June 2022,www.athertonshs.eq.edu.au,(07) 4030 5222,N,(07) 4091 3847,,Maunds Road,Atherton,4883,PO Box 574,Atherton,,4883,Far North Queensland,Kennedy,Hill,Tablelands (R),Atherton,306051166,Outer Regional Australia,2022 February,962.00,,0.00,,76205043393,State,,145.486092,-17.260064
0789,Atherton State School,State School,Open,,,Prep Year,Year 6,Principal,05,28 June 2022,www.athertonss.eq.edu.au,(07) 4095 7333,N,,,Armstrong Street,Atherton,4883,PO Box 209,Atherton,,4883,Far North Queensland,Kennedy,Hill,Tablelands (R),Atherton,306051166,Outer Regional Australia,2022 February,362.00,,0.00,,17037789155,State,,145.481622,-17.261668
0357,Augathella State School,State School,Open,,,Early Childhood,Year 6,Principal,02,13 May 2022,www.augathellass.eq.edu.au,(07) 4654 5120,N,(07) 4654 5266,,Cavanagh Street,Augathella,4477,PO Box 33,Augathella,,4477,Darling Downs South West,Maranoa,Warrego,Murweh (S),Charleville,315031409,Very Remote Australia,2022 February,47.00,,5.00,,17989162841,State,,146.583358,-25.797140
7120,Augusta State School,State School,Open,,,Early Childhood,Year 6,Principal,06,13 May 2022,www.augustass.eq.edu.au,(07) 3814 9666,N,(07) 3814 0192,,60-100 Brittains Road,Augustine Heights,4300,60-100 Brittains Road,Augustine Heights,,4300,Metropolitan,Oxley,Jordan,Ipswich (C),Bellbird Park - Brookwater,310041296,Major Cities of Australia,2022 February,1109.00,,18.00,,14994918612,State,,152.876523,-27.655808
0274,Aurukun State School,State School,Open,,,Early Childhood,Year 12,Executive Principal,04,15 July 2022,www.aurukunss.eq.edu.au,(07) 4083 4333,N,(07) 4060 6143,,Wuungkam Street,Aurukun,4892,c/- Aurukun Post Office,Aurukun,,4892,Far North Queensland,Leichhardt,Cook,Aurukun (S),Aurukun,315011395,Very Remote Australia,2022 February,187.00,,13.00,,98464849685,State,,141.729393,-13.353032
2078,Aviation High,State High School,Open,,,Year 7,Year 12,Principal,05,10 August 2022,www.aviationhigh.eq.edu.au,(07) 3637 0111,N,(07) 3637 0100,,Widdop Street,Hendra,4011,PO Box 359,Clayfield,,4011,Metropolitan,Brisbane,Clayfield,Brisbane (C),Hendra,305031125,Major Cities of Australia,2022 February,641.00,,0.00,,72855864714,State,,153.062996,-27.414323
1901,Avoca State School,State School,Open,,,Prep Year,Year 6,Principal,04,26 May 2022,www.avocass.eq.edu.au,(07) 4150 0444,N,(07) 4150 0400,,Twyford Street,Avoca,4670,PO Box 5636,Bundaberg West,,4670,North Coast,Hinkler,Bundaberg,Bundaberg (R),Millbank - Avoca,319011500,Inner Regional Australia,2022 February,281.00,,0.00,,41284121841,State,,152.313454,-24.883639
0572,Avondale State School,State School,Open,,,Prep Year,Year 6,Principal,01,26 May 2022,www.avondaless.eq.edu.au,(07) 4156 1202,N,,,371 Avondale Road,Avondale,4670,371 Avondale Road,Avondale,,4670,North Coast,Flynn,Burnett,Bundaberg (R),Bundaberg Region - North,319011498,Inner Regional Australia,2022 February,9.00,,0.00,,45476823840,State,,152.160664,-24.735813
2008,Ayr State High School,State High School,Open,,,Year 7,Year 12,Principal,05,22 June 2022,www.ayrshs.eq.edu.au,(07) 4790 4333,N,(07) 4790 4300,,Cnr Edwards & Wickham Streets,Ayr,4807,PO Box 961,Ayr,,4807,North Queensland,Dawson,Burdekin,Burdekin (S),Ayr,318011460,Outer Regional Australia,2022 February,567.00,,0.00,,40808982030,State,,147.409618,-19.577045
0451,Ayr State School,State School,Open,,,Prep Year,Year 6,Principal,02,22 June 2022,www.ayrss.eq.edu.au,(07) 4790 3333,N,(07) 4790 3300,,141 Graham Street,Ayr,4807,PO Box 955,Ayr,,4807,North Queensland,Dawson,Burdekin,Burdekin (S),Ayr,318011460,Outer Regional Australia,2022 February,62.00,,0.00,,69102381008,State,,147.400553,-19.579099
1466,Babinda State School,State School,Open,,,Prep Year,Year 12,Principal,05,15 July 2022,www.babindass.eq.edu.au,(07) 4067 8333,N,(07) 4067 8300,,Boulders Road,Babinda,4861,PO Box 217,Babinda,,4861,Far North Queensland,Kennedy,Hill,Cairns (R),Babinda,306031158,Outer Regional Australia,2022 February,293.00,,0.00,,90249901046,State,,145.912648,-17.345975
0317,Back Plains State School,State School,Open,,,Prep Year,Year 6,Principal,01,25 March 2022,www.backplainsss.eq.edu.au,(07) 4695 8571,N,,,874 Clifton-Pittsworth Highway,Back Plains,4361,MS 29,Clifton,,4361,Darling Downs South West,Maranoa,Condamine,Toowoomba (R),Clifton - Greenmount,307031184,Inner Regional Australia,2022 February,23.00,,0.00,,58143409430,State,,151.784224,-27.892622
0906,Bajool State School,State School,Open,,,Prep Year,Year 6,Principal,02,09 June 2022,www.bajoolss.eq.edu.au,(07) 4934 6128,N,,,Toonda Street,Bajool,4699,c/- Post Office,Bajool,,4699,Central Queensland,Flynn,Mirani,Rockhampton (R),Bouldercombe,308031206,Outer Regional Australia,2022 February,38.00,,0.00,,64205894228,State,,150.646749,-23.652300
1689,Balaclava State School,State School,Open,,,Prep Year,Year 6,Principal,05,15 July 2022,www.balaclavass.eq.edu.au,(07) 4081 5333,N,(07) 4081 5300,,418 Mulgrave Road,Mooroobool,4870,PO Box 266M,Manunda,,4870,Far North Queensland,Leichhardt,Cairns,Cairns (R),Kanimbla - Mooroobool,306021149,Outer Regional Australia,2022 February,332.00,,0.00,,77803106315,State,,145.744947,-16.936708
0004,Bald Hills State School,State School,Open,,,Prep Year,Year 6,Principal,05,10 August 2022,www.baldhillss.eq.edu.au,(07) 3869 5555,N,,,2156 Gympie Road,Bald Hills,4036,PO Box 40,Bald Hills,,4036,Metropolitan,Petrie,Aspley,Brisbane (C),Bald Hills,302011022,Major Cities of Australia,2022 February,616.00,,0.00,,75695439556,State,,153.006826,-27.320095
1164,Ballandean State School,State School,Open,,,Prep Year,Year 6,Principal,02,28 January 2022,www.ballandeanss.eq.edu.au,(07) 4684 1254,N,(07) 4684 1246,,Bent's Road,Ballandean,4382,c/- Post Office,Ballandean,,4382,Darling Downs South West,Maranoa,Southern Downs,Southern Downs (R),Stanthorpe Region,307031188,Outer Regional Australia,2022 February,33.00,,0.00,,43393348622,State,,151.841491,-28.798610
2043,Balmoral State High School,State High School,Open,,,Year 7,Year 12,Principal,06,10 August 2022,www.balmoralshs.eq.edu.au,(07) 3823 8588,N,(07) 3823 8500,,Cnr Thynne & Lytton Roads,Balmoral,4171,PO Box 120,Morningside,,4170,Metropolitan,Griffith,Bulimba,Brisbane (C),Balmoral,305021113,Major Cities of Australia,2022 February,847.00,,0.00,,28493519073,State,,153.072786,-27.456010
0521,Banana State School,State School,Open,,,Prep Year,Year 6,Principal,02,13 May 2022,www.bananass.eq.edu.au,(07) 4995 9333,N,(07) 4995 9300,,32 Bramston Street,Banana,4702,32 Bramston Street,Banana,,4702,Central Queensland,Flynn,Callide,Banana (S),Banana,308041528,Outer Regional Australia,2022 February,43.00,,0.00,,55253912937,State,,150.129998,-24.469999
1989,Banksia Beach State School,State School,Open,,,Early Childhood,Year 6,Principal,06,08 August 2022,www.banksiabeachss.eq.edu.au,(07) 3408 5333,N,(07) 3408 5300,,Sunderland Road,Banksia Beach,4507,PO Box 243,Bribie Island,,4507,North Coast,Longman,Pumicestone,Moreton Bay (R),Bribie Island,313011363,Inner Regional Australia,2022 February,933.00,,0.00,,51445986826,State,,153.148339,-27.046341
1605,Baralaba State School,State School,Open,,,Early Childhood,Year 10,Principal,03,10 June 2022,www.baralabass.eq.edu.au,(07) 4998 2333,N,(07) 4998 2300,,1 Power Street,Baralaba,4702,PO Box 24,Baralaba,,4702,Central Queensland,Flynn,Callide,Banana (S),Banana,308041528,Outer Regional Australia,2022 February,114.00,,7.00,,37213269394,State,,149.809756,-24.181073
0531,Barcaldine Prep-12 State School,State School,Open,,,Early Childhood,Year 12,Principal,04,30 September 2022,www.barcaldiness.eq.edu.au,(07) 4651 5333,N,(07) 4651 5300,,Gidyea Street,Barcaldine,4725,PO Box 136,Barcaldine,,4725,Central Queensland,Maranoa,Gregory,Barcaldine (R),Barcaldine - Blackall,315031408,Very Remote Australia,2022 February,229.00,,0.00,,63992688270,State,,145.294011,-23.558838
1041,Bardon State School,State School,Open,,,Prep Year,Year 6,Principal,04,10 August 2022,www.bardonss.eq.edu.au,(07) 3511 4555,N,(07) 3511 4500,,330 Simpsons Road,Bardon,4065,330 Simpsons Road,Bardon,,4065,Metropolitan,Ryan,Maiwar,Brisbane (C),Bardon,305041134,Major Cities of Australia,2022 February,299.00,,0.00,,42195804403,State,,152.972139,-27.459916
0702,Bargara State School,State School,Open,,,Prep Year,Year 6,Principal,05,26 May 2022,www.bargarass.eq.edu.au,(07) 4150 5333,N,,,591 Bargara Road,Mon Repos,4670,591 Bargara Road,Bargara,,4670,North Coast,Hinkler,Burnett,Bundaberg (R),Bargara - Burnett Heads,319011493,Inner Regional Australia,2022 February,364.00,,0.00,,40348572046,State,,152.438760,-24.822161
A109,Baringa State Primary School,State School,Open,,,Prep Year,Year 6,Principal,06,27 May 2022,www.baringass.eq.edu.au,(07) 5390 2333,N,,,30 Baringa Drive,Baringa,4551,30 Baringa Drive,Baringa,,4551,North Coast,Fisher,Caloundra,Sunshine Coast (R),Caloundra - West,316021420,Major Cities of Australia,2022 February,1044.00,,0.00,,28376889608,State,,153.081063,-26.807568
A908,Baringa State Secondary College,State High School,Open,,,Year 7,Year 9,Principal,07,27 May 2022,www.baringassc.eq.edu.au,(07) 5293 4333,N,,,10 Griffith Place,Baringa,4551,10 Griffith Place,Baringa,,4551,North Coast,Fisher,Caloundra,Sunshine Coast (R),Caloundra - West,316021420,Major Cities of Australia,2022 February,370.00,,0.00,,65587407338,State,,153.076974,-26.805069
